"year","fat.","date","type","registration","operator","location","Var.7","pic","cat","occurence","passenger.x","passenger.y","passenger","lon","lat"
1920,4,"14-DEC-1920","Handley Page O/400","G-EAMA","Handley Page Transport","Golders+Green",NA,NA,"A1",1,NA,NA,NA,-90.2504737,29.9996343
1921,0,"15-JAN-1921","Aeromarine 75","","Aeromarine Airways","Havana+harbour",NA,NA,"O1",1,NA,NA,NA,NA,NA
1921,0,"02-MAR-1921","Handley Page O/7","G-IAAC","HP Indo-Burmese Transport","Meerut",NA,NA,"O1",1,NA,NA,NA,NA,NA
1921,0,"04-MAR-1921","Caproni Ca.60 Noviplano","","Caproni","Lago+Maggiore",NA,NA,"A1",1,NA,NA,NA,-0.198171,51.575666
1921,0,"26-AUG-1921","Farman F.60 Goliath","O-BLAN","SNETA","Calais+[The ...",NA,NA,"A2",1,NA,NA,NA,-82.3411199,23.1352469
1921,0,"27-SEP-1921","Farman F.60 Goliath","O-BRUN","SNETA","Evere+Airfield",NA,NA,"O1",1,NA,NA,NA,77.7064137,28.9844618
1921,0,"27-SEP-1921","Farman F.60 Goliath","O-BLEU","SNETA","Evere+Airfield",NA,NA,"O1",1,NA,NA,NA,8.6532586,45.9676218
1922,5,"14-JAN-1922","Handley Page O/10","G-EATN","Handley Page Transport","Paris-Le+Bou...",NA,NA,"A1",1,NA,NA,NA,1.858686,50.95129
1922,5,"07-APR-1922","Farman F.60 Goliath","F-GEAD","Grands Express Aériens","Thieuloy-Sai...",NA,NA,"A1",1,NA,NA,NA,NA,NA
1923,6,"14-MAY-1923","Farman F.60 Goliath","F-AEBY","Air Union","Monsures,+Somme",NA,NA,"A1",1,NA,NA,NA,NA,NA
1924,0,"06-AUG-1924","Farman F.60 Goliath","F-ADDT","Air Union","Golden+Green...",NA,NA,"A2",1,NA,NA,NA,1.591865,50.408188
1924,0,"24-AUG-1924","Farman F.61 Goliath","F-ADFP","SGTA","Amsterdam-Sc...",NA,NA,"A1",1,NA,NA,NA,2.36785,48.859765
1925,3,"16-OCT-1925","Farman F.60 Goliath","F-HMFU","Air Union","Wadhurst,+Ea...",NA,NA,"A1",1,NA,NA,NA,NA,NA
1926,7,"02-OCT-1926","Blériot 155","F-AICQ","Air Union","Leigh,+Kent",NA,NA,"A1",1,NA,NA,NA,-82.3665956,23.1135925
1927,2,"05-MAY-1927","Farman F.61 Goliath","F-ADFN","SGTA","Atlantic+Ocean",NA,NA,"A1",1,NA,NA,NA,2.17198,49.70958
1928,7,"25-AUG-1928","Ford 4-AT-B Tri-Motor","G-CATX","British Columbia Airways","Port+Townsen...",NA,NA,"A1",1,NA,NA,NA,NA,NA
1929,14,"17-MAR-1929","Ford 4-AT-B Tri-Motor","NC7683","Colonial Western Airlines","Newark+Airpo...",NA,NA,"A1",1,NA,NA,NA,4.623964,48.963349
1930,16,"19-JAN-1930","Ford 5-AT-C Tri-Motor","NC9689","Maddux Airlines","Oceanside,+CA",NA,NA,"A1",1,NA,NA,NA,3.518332,50.357113
1931,6,"09-AUG-1931","Ford 5-AT-B Tri-Motor","NC9662","American Airways","Cincinnati,+OH",NA,NA,"A1",1,NA,NA,NA,0.4383269,51.2885498
1932,9,"16-JUL-1932","Ford 5-AT-C Tri-Motor","NC403H","Panagra","Vitacura",NA,NA,"A1",1,NA,NA,NA,0.9614679,50.9841834
1933,15,"28-MAR-1933","Armstrong Whitworth Argosy II","G-AACI","Imperial Airways","Diksmuide",NA,NA,"A1",1,NA,NA,NA,-82.3411199,23.1352469
1934,12,"27-JUL-1934","Curtiss AT-32C Condor II","CH-170","Swissair","Wurmlingen/T...",NA,NA,"A1",1,NA,NA,NA,-0.098234,51.376165
1935,13,"20-JUL-1935","Douglas DC-2-115E","PH-AKG","KLM","Pian+San Gia...",NA,NA,"A1",1,NA,NA,NA,-80.7921428,35.203089
1936,17,"14-JAN-1936","Douglas DC-2-120","NC14274","American Airlines","Goodwin,+AR",NA,NA,"A1",1,NA,NA,NA,4.7682744,52.3105386
1937,19,"17-OCT-1937","Douglas DC-3A-197","NC16074","United Airlines","Knight,+WY",NA,NA,"A1",1,NA,NA,NA,NA,NA
1938,20,"14-JUL-1938","Savoia-Marchetti S-66","I-VOLO","Ala Littoria","Terranova,+S...",NA,NA,"A1",1,NA,NA,NA,1.613334,50.725231
1938,20,"10-OCT-1938","Sabca Savoia-Marchetti S.73P","OO-AGT","Sabena","Soest",NA,NA,"A1",1,NA,NA,NA,-90.4422188,31.5788496
1939,15,"17-OCT-1939","Savoia-Marchetti S.73","I-IESI ?","Ala Littoria","Olías",NA,NA,"A1",1,NA,NA,NA,-86.7715666,33.4645814
1940,29,"08-NOV-1940","Junkers Ju-90A","D-AVMF","Deutsche Lufthansa","Brauna/Schön...",NA,NA,"A1",1,NA,NA,NA,-0.357056,50.134664
1941,26,"26-DEC-1941","Tupolev G-2","CCCP-L3043","Aeroflot / Kazakstan","Dmitriyevka",NA,NA,"A1",1,NA,NA,NA,NA,NA
1942,36,"14-DEC-1942","Tupolev ANT-20bis","CCCP-L760","Aeroflot / Uzbekistan","Tashkent",NA,NA,"A1",1,NA,NA,NA,-28.6731465,-14.5994134
1943,35,"15-JAN-1943","Douglas C-54 (DC-4)","41-32939","USAAF, op.for TWA","Paramaribo",NA,NA,"A1",1,NA,NA,NA,-83.6466842,41.3981213
1944,34,"22-SEP-1944","Curtiss C-46A","42-107360","USAAF","Bahrain",NA,NA,"A1",1,NA,NA,NA,-92.1342921,29.9746502
1945,59,"12-OCT-1945","Curtiss C-46F","44-78591","USAAF","Beijing-Nany...",NA,NA,"A1",1,NA,NA,NA,1.169456,51.081397
1946,39,"03-OCT-1946","Douglas C-54E (DC-4)","NC90904","American Overseas Airlines","Stephenville...",NA,NA,"A1",1,NA,NA,NA,5.0285536,52.2738533
1947,53,"15-FEB-1947","Douglas DC-4","C-114","Avianca","Bogotá",NA,NA,"A1",1,NA,NA,NA,8.7347582,48.0748189
1947,53,"30-MAY-1947","Douglas C-54B (DC-4)","NC88814","Eastern Air Lines","Bainbridge,+MD",NA,NA,"A1",1,NA,NA,NA,-83.1763145,42.3222599
1948,52,"01-AUG-1948","Latécoère 631","F-BDRC","Air France","Dakar,+Senegal",NA,NA,"A1",1,NA,NA,NA,NA,NA
1949,55,"01-NOV-1949","Douglas C-54B (DC-4)","N88727","Eastern Air Lines","Washington-N...",NA,NA,"A1",1,NA,NA,NA,-122.7604471,48.1170387
1950,80,"12-MAR-1950","Avro 689 Tudor 5","G-AKBY","Fairflight","Llandow",NA,NA,"A1",1,NA,NA,NA,8.052771,51.4073375
1951,56,"16-DEC-1951","Curtiss C-46F","N1678M","Miami Airlines, lsf USAF","Newark+Inter...",NA,NA,"A1",1,NA,NA,NA,-83.0457538,42.331427
1952,87,"20-DEC-1952","Douglas C-124A-DL Globemaster II","50-0100","USAF","Moses+Lake-L...",NA,NA,"A1",1,NA,NA,NA,-117.4260465,47.6587802
1953,129,"18-JUN-1953","Douglas C-124A-DL Globemaster II","51-0137","USAF","Tachikawa+Ai...",NA,NA,"A1",1,NA,NA,NA,11.4862361,52.4465493
1954,47,"16-AUG-1954","Bristol 170 Freighter 21E","F-VNAI","Air Vietnam","Pakse",NA,NA,"A1",1,NA,NA,NA,-100.8556857,33.4764767
1955,66,"22-MAR-1955","Douglas R6D-1 (DC-6)","131612","US Navy","Honolulu,+HI",NA,NA,"A1",1,NA,NA,NA,-98.1561192,29.1335781
1955,66,"06-OCT-1955","Douglas DC-4","N30062","United Airlines","Medicine+Bow...",NA,NA,"A1",1,NA,NA,NA,NA,NA
