"date","type","registration","operator","fat.","location","Var.7","pic","cat","occurence","year","passenger.x","passenger.y","passenger"
"23-FEB-1920","Handley Page O/7","G-EANV","Handley Page Transport","0","Acadia Sidin...",NA,NA,"A1",1,"1920",NA,NA,NA
"25-FEB-1920","Handley Page O/400","G-EAMC","Handley Page Transport","0","El Shereik",NA,NA,"A1",1,"1920",NA,NA,NA
"30-JUN-1920","Handley Page O/400","G-EAKE","Handley Page Transport","0","Östanå",NA,NA,"A1",1,"1920",NA,NA,NA
"14-DEC-1920","Handley Page O/400","G-EAMA","Handley Page Transport","4","Golders Green",NA,NA,"A1",1,"1920",NA,NA,NA
"15-JAN-1921","Aeromarine 75","","Aeromarine Airways","0","Havana harbour",NA,NA,"O1",1,"1921",NA,NA,NA
"02-MAR-1921","Handley Page O/7","G-IAAC","HP Indo-Burmese Transport","0","Meerut",NA,NA,"O1",1,"1921",NA,NA,NA
"04-MAR-1921","Caproni Ca.60 Noviplano","","Caproni","0","Lago Maggiore",NA,NA,"A1",1,"1921",NA,NA,NA
"26-AUG-1921","Farman F.60 Goliath","O-BLAN","SNETA","0","Calais [The ...",NA,NA,"A2",1,"1921",NA,NA,NA
"27-SEP-1921","Farman F.60 Goliath","O-BRUN","SNETA","0","Evere Airfield",NA,NA,"O1",1,"1921",NA,NA,NA
"27-SEP-1921","Farman F.60 Goliath","O-BLEU","SNETA","0","Evere Airfield",NA,NA,"O1",1,"1921",NA,NA,NA
"30-DEC-1921","Handley Page O/10","G-EATM","Handley Page Transport",NA,"Berck-sur-Mer",NA,NA,"U1",1,"1921",NA,NA,NA
"14-JAN-1922","Handley Page O/10","G-EATN","Handley Page Transport","5","Paris-Le Bou...",NA,NA,"A1",1,"1922",NA,NA,NA
"07-APR-1922","Farman F.60 Goliath","F-GEAD","Grands Express Aériens","5","Thieuloy-Sai...",NA,NA,"A1",1,"1922",NA,NA,NA
"13-JAN-1923","Aeromarine 75","","Aeromarine Airways","4","Havana, Cuba",NA,NA,"A1",1,"1923",NA,NA,NA
"14-MAY-1923","Farman F.60 Goliath","F-AEBY","Air Union","6","Monsures, Somme",NA,NA,"A1",1,"1923",NA,NA,NA
"25-JUN-1923","Farman F.60 Goliath","F-AEDL","Air Union",NA,"Étaples",NA,NA,"A1",1,"1923",NA,NA,NA
"10-JUL-1923","Handley Page W.8","G-EAPJ","Handley Page Transport","0","Poix",NA,NA,"A1",1,"1923",NA,NA,NA
"15-JUL-1923","Farman F.60 Goliath","F-AEEE","Compagnie Aérienne Française",NA,"Valenciennes",NA,NA,"A1",1,"1923",NA,NA,NA
"27-AUG-1923","Farman F.60 Goliath","F-AECB","Air Union","1","East Malling...",NA,NA,"A1",1,"1923",NA,NA,NA
"03-DEC-1923","Farman F.60 Goliath","F-AEIF","Air Union",NA,"Littlestone,...",NA,NA,"A1",1,"1923",NA,NA,NA
"??-???-1923","Aeromarine 75","","Aeromarine Airways","0","Havana harbour",NA,NA,"O1",1,"1923",NA,NA,NA
"22-JAN-1924","Farman F.60 Goliath","F-GEAO","Air Union",NA,"London-Croyd...",NA,NA,"A1",1,"1924",NA,NA,NA
"06-AUG-1924","Farman F.60 Goliath","F-ADDT","Air Union","0","Golden Green...",NA,NA,"A2",1,"1924",NA,NA,NA
"24-AUG-1924","Farman F.61 Goliath","F-ADFP","SGTA","0","Amsterdam-Sc...",NA,NA,"A1",1,"1924",NA,NA,NA
"16-OCT-1925","Farman F.60 Goliath","F-HMFU","Air Union","3","Wadhurst, Ea...",NA,NA,"A1",1,"1925",NA,NA,NA
"14-NOV-1925","Farman F.60 Goliath","F-FHMY","Air Union","0","Boulogne [En...",NA,NA,"A2",1,"1925",NA,NA,NA
"18-AUG-1926","Blériot 155","F-AIEB","Air Union","4","Hurst, ...",NA,NA,"A1",1,"1926",NA,NA,NA
"02-OCT-1926","Blériot 155","F-AICQ","Air Union","7","Leigh, Kent",NA,NA,"A1",1,"1926",NA,NA,NA
"21-OCT-1926","Handley Page W.10","G-EBMS","Imperial Airways","0","English Channel",NA,NA,"A1",1,"1926",NA,NA,NA
"20-NOV-1926","Junkers G.24","D-944","Deutsche Lufthansa",NA,"Königsberg",NA,NA,"A1",1,"1926",NA,NA,NA
