"date","type","total_occurence","total_fatality","average_fatality","location","year"
"01-DEC-2014","Alenia C-27J Spartan",1,0,0,"Mackall AAF, NC","2014"
"12-MAR-2010","Alenia G-222",1,0,0,"Port Harcour...","2010"
"25-NOV-2001","Alenia G-222RM",1,0,0,"Pratica di M...","2001"
"29-AUG-1985","Alenia G-222SAA",1,4,4,"Nurallao, Sa...","1985"
"10-JUL-1982","Alenia G-222TCM",6,16,2.67,"Greve in Chi...","1982"
"05-JUN-1991","Alenia G-222TCM",6,16,2.67,"Pratica di M...","1991"
"22-AUG-1991","Alenia G-222TCM",6,16,2.67,"Minturno","1991"
"08-JAN-1992","Alenia G-222TCM",6,16,2.67,"Prato","1992"
"03-SEP-1992","Alenia G-222TCM",6,16,2.67,"Sarajevo","1992"
"07-JUN-1996","Alenia G-222TCM",6,16,2.67,"Pisa","1996"
"05-DEC-2012","AMI C-47TP (DC-3T)",1,11,11,"Giant's Cast...","2012"
"13-AUG-1947","Amiot AAC.1 (Junkers Ju-52)",7,59,8.43,"Chevilly","1947"
"21-JAN-1948","Amiot AAC.1 (Junkers Ju-52)",7,59,8.43,"Moulouya","1948"
"12-MAR-1949","Amiot AAC.1 (Junkers Ju-52)",7,59,8.43,"Hoang Su Phi","1949"
"24-APR-1951","Amiot AAC.1 (Junkers Ju-52)",7,59,8.43,"Oran","1951"
"13-MAR-1952","Amiot AAC.1 (Junkers Ju-52)",7,59,8.43,"Constantine","1952"
"20-OCT-1952","Amiot AAC.1 (Junkers Ju-52)",7,59,8.43,"Saigon","1952"
"16-SEP-1954","Amiot AAC.1 (Junkers Ju-52)",7,59,8.43,"Mouzaia","1954"
"20-MAY-1994","Antonov",2,0,0,"Aden Interna...","1994"
"27-DEC-2007","Antonov",2,0,0,"Nyala","2007"
"31-JAN-1959","Antonov An-12",41,531,12.95,"Vitebsk Airp...","1959"
"28-NOV-1959","Antonov An-12",41,531,12.95,"Irkutsk","1959"
"05-AUG-1961","Antonov An-12",41,531,12.95,"Chandigarh A...","1961"
"23-DEC-1962","Antonov An-12",41,531,12.95,"Noril'sk-Nez...","1962"
"07-JUL-1965","Antonov An-12",41,531,12.95,"Cairo","1965"
"??-???-1966","Antonov An-12",41,531,12.95,"Tyumen Airpo...","1966"
"03-JUN-1969","Antonov An-12",41,531,12.95,"Pskov","1969"
"03-JUN-1969","Antonov An-12",41,531,12.95,"Pskov","1969"
"01-OCT-1969","Antonov An-12",41,531,12.95,"Pskov","1969"
"28-OCT-1970","Antonov An-12",41,531,12.95,"Ivanovo","1970"
"06-DEC-1971","Antonov An-12",41,531,12.95,"Melitopol","1971"
"??-???-1972","Antonov An-12",41,531,12.95,"","1972"
"09-OCT-1978","Antonov An-12",41,531,12.95,"","1978"
"19-NOV-1978","Antonov An-12",41,531,12.95,"Leh Airport ...","1978"
"15-FEB-1983","Antonov An-12",41,531,12.95,"Jalalabad Ai...","1983"
"02-JUL-1983","Antonov An-12",41,531,12.95,"Jalalabad Ai...","1983"
"16-SEP-1983","Antonov An-12",41,531,12.95,"Bagram Air B...","1983"
"15-JAN-1984","Antonov An-12",41,531,12.95,"Tessenei Air...","1984"
"18-JAN-1984","Antonov An-12",41,531,12.95,"Mazar-I-Shar...","1984"
"16-FEB-1984","Antonov An-12",41,531,12.95,"Debre Zeit/H...","1984"
"24-SEP-1984","Antonov An-12",41,531,12.95,"Zaranj","1984"
"11-JUL-1985","Antonov An-12",41,531,12.95,"Kandahar Air...","1985"
"29-NOV-1986","Antonov An-12",41,531,12.95,"Kabul Airpor...","1986"
"27-DEC-1986","Antonov An-12",41,531,12.95,"Kabul","1986"
"13-JAN-1987","Antonov An-12",41,531,12.95,"Asmara Inter...","1987"
"12-JUL-1987","Antonov An-12",41,531,12.95,"Kandahar Air...","1987"
"08-MAR-1988","Antonov An-12",41,531,12.95,"Ariza","1988"
"27-AUG-1988","Antonov An-12",41,531,12.95,"Kabul-Khwaja...","1988"
"11-OCT-1988","Antonov An-12",41,531,12.95,"Sandar-Marneuli","1988"
"10-AUG-1990","Antonov An-12",41,531,12.95,"Shindand","1990"
"26-NOV-1990","Antonov An-12",41,531,12.95,"Alma-Ata Air...","1990"
"17-AUG-1991","Antonov An-12",41,531,12.95,"Ucharal","1991"
"16-NOV-1991","Antonov An-12",41,531,12.95,"Amderma Airp...","1991"
"14-JUL-1992","Antonov An-12",41,531,12.95,"Nakhichevan ...","1992"
"14-JUL-1992","Antonov An-12",41,531,12.95,"Sana'a","1992"
"23-AUG-1993","Antonov An-12",41,531,12.95,"Krasnoslobod...","1993"
"05-AUG-1994","Antonov An-12",41,531,12.95,"Bada Air Base","1994"
"10-NOV-1999","Antonov An-12",41,531,12.95,"Mbandaka Air...","1999"
"26-APR-2001","Antonov An-12",41,531,12.95,"Khartoum","2001"
"27-JAN-2002","Antonov An-12",41,531,12.95,"Luena","2002"
"14-JUL-2006","Antonov An-12",41,531,12.95,"Geneina Airp...","2006"
"06-DEC-1997","Antonov An-124-100",1,0,0,"Irkutsk-2 Ai...","1997"
"16-JUL-1963","Antonov An-12A",2,13,6.5,"Delhi-Palam ...","1963"
"16-AUG-1971","Antonov An-12A",2,13,6.5,"Ahmednagar","1971"
"26-MAY-1972","Antonov An-12AP",1,5,5,"Panevézys","1972"
"05-AUG-1984","Antonov An-12B",5,43,8.6,"Nawabshah","1984"
"22-MAY-2001","Antonov An-12B",5,43,8.6,"Myakotino, Z...","2001"
"10-SEP-2008","Antonov An-12B",5,43,8.6,"Buturlinovka...","2008"
"09-AUG-2013","Antonov An-12B",5,43,8.6,"Mogadishu In...","2013"
"30-SEP-2017","Antonov An-12B",5,43,8.6,"Kinshasa-N'D...","2017"
"21-OCT-1987","Antonov An-12BK",4,18,4.5,"Kabul Airpor...","1987"
"03-OCT-2000","Antonov An-12BK",4,18,4.5,"Petrel-Burev...","2000"
"29-SEP-2008","Antonov An-12BK",4,18,4.5,"Luanda Airpo...","2008"
"17-JUL-2015","Antonov An-12BK",4,18,4.5,"Chelyabinsk ...","2015"
"21-JAN-1977","Antonov An-12BK-PPS",2,16,8,"Krestsy, Nov...","1977"
"01-SEP-1988","Antonov An-12BK-PPS",2,16,8,"Privolzhskiy...","1988"
"16-OCT-1964","Antonov An-12BP",20,309,15.45,"Palembang","1964"
"05-JUN-1967","Antonov An-12BP",20,309,15.45,"Luxor Air Base","1967"
"05-JUN-1967","Antonov An-12BP",20,309,15.45,"Luxor Air Base","1967"
"07-FEB-1968","Antonov An-12BP",20,309,15.45,"Dhaka Glacier","1968"
"23-JUN-1969","Antonov An-12BP",20,309,15.45,"Poroslitsy v...","1969"
"23-OCT-1972","Antonov An-12BP",20,309,15.45,"Tula Airport...","1972"
"23-OCT-1972","Antonov An-12BP",20,309,15.45,"Tula Airport...","1972"
"07-JAN-1980","Antonov An-12BP",20,309,15.45,"Kabul Airpor...","1980"
"24-AUG-1982","Antonov An-12BP",20,309,15.45,"Chita","1982"
"15-OCT-1984","Antonov An-12BP",20,309,15.45,"Khost Airpor...","1984"
"25-NOV-1985","Antonov An-12BP",20,309,15.45,"Luassingua","1985"
"13-AUG-1987","Antonov An-12BP",20,309,15.45,"Gardez","1987"
"12-DEC-1988","Antonov An-12BP",20,309,15.45,"Yerevan","1988"
"23-JAN-1989","Antonov An-12BP",20,309,15.45,"Kandahar Air...","1989"
"08-JUL-1989","Antonov An-12BP",20,309,15.45,"Cam Ranh Air...","1989"
"12-OCT-1989","Antonov An-12BP",20,309,15.45,"Kirovabad","1989"
"11-DEC-1997","Antonov An-12BP",20,309,15.45,"Naryan-Mar A...","1997"
"16-MAY-2003","Antonov An-12BP",20,309,15.45,"Menongue","2003"
"08-AUG-2005","Antonov An-12BP",20,309,15.45,"Luena Airpor...","2005"
"07-OCT-2012","Antonov An-12BP",20,309,15.45,"Omdurman, Kh...","2012"
"17-DEC-1996","Antonov An-12RR",1,17,17,"Andreapol Ai...","1996"
"25-MAR-1961","Antonov An-2",18,12,0.67,"","1961"
"12-JAN-1968","Antonov An-2",18,12,0.67,"Muong Yut","1968"
"12-JAN-1968","Antonov An-2",18,12,0.67,"within Laos","1968"
"05-MAR-1979","Antonov An-2",18,12,0.67,"","1979"
"??-DEC-1980","Antonov An-2",18,12,0.67,"Candelaria","1980"
"10-JAN-1987","Antonov An-2",18,12,0.67,"","1987"
"15-JAN-1987","Antonov An-2",18,12,0.67,"","1987"
"19-JAN-1987","Antonov An-2",18,12,0.67,"","1987"
"23-APR-1987","Antonov An-2",18,12,0.67,"","1987"
"28-JAN-1990","Antonov An-2",18,12,0.67,"Okha, Sakhal...","1990"
"02-DEC-1991","Antonov An-2",18,12,0.67,"Vukovar","1991"
"05-APR-2003","Antonov An-2",18,12,0.67,"","2003"
"11-FEB-2009","Antonov An-2",18,12,0.67,"Pskov Airpor...","2009"
"04-MAY-2009","Antonov An-2",18,12,0.67,"Seongmu Air ...","2009"
"17-JUN-2011","Antonov An-2",18,12,0.67,"Vladikavkaz ...","2011"
"28-JUN-2013","Antonov An-2",18,12,0.67,"Nekrasovka","2013"
"10-MAY-2015","Antonov An-2",18,12,0.67,"Azov Distric...","2015"
"25-JUN-2015","Antonov An-2",18,12,0.67,"Okcheon, Nor...","2015"
"18-JUL-1970","Antonov An-22",5,47,9.4,"North Atlantic","1970"
"19-DEC-1970","Antonov An-22",5,47,9.4,"Panagarh Air...","1970"
"08-JUN-1977","Antonov An-22",5,47,9.4,"Seshcha-Br'a...","1977"
"13-MAR-1987","Antonov An-22",5,47,9.4,"Addis Ababa-...","1987"
"18-JAN-1994","Antonov An-22",5,47,9.4,"Tver-Migalov...","1994"
"21-DEC-1976","Antonov An-22A",4,55,13.75,"Seshcha","1976"
"02-JUN-1980","Antonov An-22A",4,55,13.75,"Moskva-Vnuko...","1980"
"11-NOV-1992","Antonov An-22A",4,55,13.75,"Tver-Migalov...","1992"
"28-DEC-2010","Antonov An-22A",4,55,13.75,"Krasny Oktya...","2010"
"14-APR-1975","Antonov An-24",5,21,4.2,"Sofia","1975"
"19-APR-1977","Antonov An-24",5,21,4.2,"Moe","1977"
"31-JAN-1989","Antonov An-24",5,21,4.2,"Bannu","1989"
"13-AUG-1994","Antonov An-24",5,21,4.2,"","1994"
