"type","total_occurence","total_fatality","average_fatality"
"Alenia C-27J Spartan",1,0,0
"Alenia G-222",1,0,0
"Alenia G-222RM",1,0,0
"Alenia G-222SAA",1,4,4
"Alenia G-222TCM",6,16,2.67
"AMI C-47TP (DC-3T)",1,11,11
"Amiot AAC.1 (Junkers Ju-52)",7,59,8.43
"Antonov",2,0,0
"Antonov An-12",41,531,12.95
"Antonov An-124-100",1,0,0
"Antonov An-12A",2,13,6.5
"Antonov An-12AP",1,5,5
"Antonov An-12B",5,43,8.6
"Antonov An-12BK",4,18,4.5
"Antonov An-12BK-PPS",2,16,8
"Antonov An-12BP",20,309,15.45
"Antonov An-12RR",1,17,17
"Antonov An-2",18,12,0.67
"Antonov An-22",5,47,9.4
"Antonov An-22A",4,55,13.75
"Antonov An-24",5,21,4.2
"Antonov An-24 ?",1,25,25
"Antonov An-24B",2,60,30
"Antonov An-24T",2,5,2.5
"Antonov An-24TV",2,4,2
"Antonov An-24V",1,5,5
"Antonov An-26",70,786,11.23
"Antonov An-26B",1,0,0
"Antonov An-26B-100",1,0,0
"Antonov An-26RT",4,15,3.75
"Antonov An-26Sh",1,0,0
"Antonov An-26SM",1,0,0
"Antonov An-2M",4,0,0
"Antonov An-2R",2,5,2.5
"Antonov An-2T",17,12,0.71
"Antonov An-2TP",1,0,0
"Antonov An-2V",1,3,3
"Antonov An-30B",4,7,1.75
"Antonov An-32",25,317,12.68
"Antonov An-32A",2,0,0
"Antonov An-32B",12,180,15
"Antonov An-32RE",1,0,0
"Antonov An-74TK-200",1,6,6
"Antonov An-8",2,24,12
"Armstrong Whitworth AW-650 Argosy 2",1,0,0
"Armstrong Whitworth AW-660 Argosy C",3,13,4.33
"ATL-98 Carvair",1,0,0
"ATR-72-500",1,0,0
"Avia 14T",4,20,5
"Avro 685 York C.1",46,60,1.3
"Avro 691 Lancastrian C.2",2,4,2
"Avro 691 Lancastrian C.4",1,31,31
"Avro Shackleton AEW.2",1,10,10
"Avro Shackleton MR.1",6,35,5.83
"Avro Shackleton MR.1A",2,0,0
"Avro Shackleton MR.2",11,57,5.18
"Avro Shackleton MR.3",6,36,6
"Avro Shackleton T.4",2,2,1
"BAe-125 CC3 (HS-125-700)",1,0,0
"BAe-748",5,101,20.2
"BAe 3102 Jetstream 31",1,5,5
"Basler BT-67 Turbo 67 (AC-47T)",1,0,0
