"date","type","total_occurence","total_fatality","average_fatality","location","year"
"12-MAY-1970","Aero Spacelines 377MGT Mini Guppy T",1,4,4,"Edwards AFB,...","1970"
"15-JAN-1921","Aeromarine 75",3,4,1.33,"Havana harbour","1921"
"13-JAN-1923","Aeromarine 75",3,4,1.33,"Havana, Cuba","1923"
"??-???-1923","Aeromarine 75",3,4,1.33,"Havana harbour","1923"
"25-JUL-2000","Aérospatiale / BAC Concorde 101",2,0,0,"Gonesse","2000"
"27-FEB-2003","Aérospatiale / BAC Concorde 101",2,0,0,"Atlantic Ocean","2003"
"21-MAR-1992","Aérospatiale / BAC Concorde 102",1,0,0,"North Atlantic","1992"
"23-MAR-1971","Aérospatiale SN.600 Corvette",1,3,3,"Istres","1971"
"30-MAR-1979","Aérospatiale SN.601 Corvette",8,15,1.88,"Nkayi Airpor...","1979"
"03-SEP-1979","Aérospatiale SN.601 Corvette",8,15,1.88,"Nice-Côte d'...","1979"
"16-NOV-1981","Aérospatiale SN.601 Corvette",8,15,1.88,"Lagos-Murtal...","1981"
"31-JUL-1990","Aérospatiale SN.601 Corvette",8,15,1.88,"Saint-Yan-Ch...","1990"
"21-JUN-1991","Aérospatiale SN.601 Corvette",8,15,1.88,"Santa Bárbar...","1991"
"19-MAR-1998","Aérospatiale SN.601 Corvette",8,15,1.88,"Portland Int...","1998"
"16-OCT-2000","Aérospatiale SN.601 Corvette",8,15,1.88,"Toulouse-Bla...","2000"
"25-NOV-2000","Aérospatiale SN.601 Corvette",8,15,1.88,"Córdoba","2000"
"31-JUL-2000","Airbus",2,0,0,"Hong Kong-Ch...","2000"
"17-APR-2004","Airbus",2,0,0,"Cairo Intern...","2004"
"12-AUG-1977","Airbus A300",8,1,0.12,"Brindisi-Pap...","1977"
"10-APR-1981","Airbus A300",8,1,0.12,"Miami Intern...","1981"
"05-JUL-1984","Airbus A300",8,1,0.12,"Lahore Airpo...","1984"
"01-OCT-1988","Airbus A300",8,1,0.12,"Port-au-Prin...","1988"
"02-APR-1990","Airbus A300",8,1,0.12,"Port-au-Prin...","1990"
"10-NOV-1990","Airbus A300",8,1,0.12,"Calcutta-Net...","1990"
"08-MAR-1994","Airbus A300",8,1,0.12,"Nairobi-Jomo...","1994"
"03-SEP-1995","Airbus A300",8,1,0.12,"Genève-Coint...","1995"
"22-DEC-1997","Airbus A300?",1,1,1,"Xiamen Airpo...","1997"
"30-JUN-1979","Airbus A300B2-101",5,1,0.2,"Calcutta Air...","1979"
"28-JAN-1983","Airbus A300B2-101",5,1,0.2,"Delhi-Palam ...","1983"
"15-NOV-1993","Airbus A300B2-101",5,1,0.2,"Tirupati Air...","1993"
"24-DEC-1999","Airbus A300B2-101",5,1,0.2,"Kandahar Air...","1999"
"08-MAR-2002","Airbus A300B2-101",5,1,0.2,"Delhi-Indira...","2002"
"29-SEP-1986","Airbus A300B2-1C",3,7,2.33,"Chennai (Mad...","1986"
"24-APR-1993","Airbus A300B2-1C",3,7,2.33,"Montpellier-...","1993"
"26-DEC-1994","Airbus A300B2-1C",3,7,2.33,"Marseille-Ma...","1994"
"07-AUG-1984","Airbus A300B2-202",1,0,0,"Rome","1984"
"28-AUG-1984","Airbus A300B2-203",5,290,58,"Baghdad-Sadd...","1984"
"12-SEP-1984","Airbus A300B2-203",5,290,58,"Isfahan-Shah...","1984"
"10-NOV-1986","Airbus A300B2-203",5,290,58,"Tabriz Airpo...","1986"
"03-JUL-1988","Airbus A300B2-203",5,290,58,"Qeshm Island","1988"
"02-FEB-2000","Airbus A300B2-203",5,290,58,"Tehran-Mehra...","2000"
"14-JUN-1983","Airbus A300B4",2,0,0,"Havana-José ...","1983"
"18-JAN-1985","Airbus A300B4",2,0,0,"Orlando Inte...","1985"
"22-OCT-1994","Airbus A300B4-103",1,0,0,"Bangkok Inte...","1994"
"18-DEC-1983","Airbus A300B4-120",1,0,0,"Kuala Lumpur...","1983"
"27-JUN-1976","Airbus A300B4-203",14,172,12.29,"Entebbe Airp...","1976"
"17-MAR-1982","Airbus A300B4-203",14,172,12.29,"San'a Intern...","1982"
"13-FEB-1983","Airbus A300B4-203",14,172,12.29,"Melbourne, VIC","1983"
"03-FEB-1984","Airbus A300B4-203",14,172,12.29,"Camagüey Int...","1984"
"04-JUL-1985","Airbus A300B4-203",14,172,12.29,"Brisbane Int...","1985"
"21-SEP-1987","Airbus A300B4-203",14,172,12.29,"Luxor Airpor...","1987"
"12-MAR-1988","Airbus A300B4-203",14,172,12.29,"Quetta Airpo...","1988"
"23-AUG-1989","Airbus A300B4-203",14,172,12.29,"Algiers-Houa...","1989"
"28-SEP-1992","Airbus A300B4-203",14,172,12.29,"Kathmandu-Tr...","1992"
"17-MAY-1996","Airbus A300B4-203",14,172,12.29,"Istanbul-Ata...","1996"
"12-FEB-2000","Airbus A300B4-203",14,172,12.29,"Dakar-Yoff A...","2000"
"17-OCT-2001","Airbus A300B4-203",14,172,12.29,"Dubai Airpor...","2001"
"01-MAR-2004","Airbus A300B4-203",14,172,12.29,"Jeddah-King ...","2004"
"23-MAR-2007","Airbus A300B4-203",14,172,12.29,"Istanbul-Ata...","2007"
"22-NOV-2003","Airbus A300B4-203F",6,0,0,"Baghdad Inte...","2003"
"01-MAR-2010","Airbus A300B4-203F",6,0,0,"Bagram Air B...","2010"
"13-APR-2010","Airbus A300B4-203F",6,0,0,"Monterrey-Ge...","2010"
