"year","passenger"
"1970",1866388452
"1971",1996079124
"1972",1835068640
"1973",2407370700
"1974",2886075400
"1975",3001390300
"1976",3292558476
"1977",3583457352
"1978",4015000424
"1979",4518941400
"1980",4523482828
"1981",4553121000
"1982",4660446948
"1983",4864865076
"1984",5187130728
"1985",5526387724
"1986",5922795576
"1987",6350714924
"1988",6711558572
"1989",6906911100
"1990",7201023496
"1991",8442423624
"1992",8649876852
"1993",8529920696
"1994",9183186724
"1995",9704725749.3
"1996",10323236124
"1997",10792635452
"1998",10867743680
"1999",11509304096
"2000",12314088891
"2001",12347461569
"2002",12149005652
"2003",12506386753
"2004",14301314076
"2005",15022055168
"2006",15947720007
"2007",17159254396
"2008",17319253227
"2009",17803481606
"2010",21254462141.4241
"2011",22796276932.3986
"2012",23921174241.2718
"2013",25343289201.1371
"2014",26948044736.6585
"2015",29089049148.6966
"2016",31142464828.9466
