"date","type","total_occurence","total_fatality","average_fatality","location","year"
"15-APR-2010","Antonov An-2",6,3,0.5,"Saransk","2010"
"22-MAR-2012","Antonov An-2",6,3,0.5,"Byelaya Kali...","2012"
"28-JUL-2013","Antonov An-2",6,3,0.5,"Shakhty Airport","2013"
"26-OCT-2013","Antonov An-2",6,3,0.5,"Tayozhny, Kr...","2013"
"25-APR-2014","Antonov An-2",6,3,0.5,"Kramatorsk A...","2014"
"07-JUN-2014","Antonov An-2",6,3,0.5,"Rybinsk, Yar...","2014"
"29-JAN-2002","Antonov An-28",1,0,0,"Kavak Airstrip","2002"
"18-FEB-1992","Antonov An-2P",2,0,0,"Bangui Airpo...","1992"
"08-OCT-1996","Antonov An-2P",2,0,0,"Liberec","1996"
"03-JUL-1992","Antonov An-2R",10,2,0.2,"Sosnovyy","1992"
"13-JUL-1997","Antonov An-2R",10,2,0.2,"Beiersdorf","1997"
"15-OCT-1999","Antonov An-2R",10,2,0.2,"Mitton","1999"
"27-AUG-2003","Antonov An-2R",10,2,0.2,"Målöga","2003"
"04-FEB-2007","Antonov An-2R",10,2,0.2,"Narsarsuaq A...","2007"
"07-JUN-2008","Antonov An-2R",10,2,0.2,"Novoternovskiy","2008"
"03-AUG-2010","Antonov An-2R",10,2,0.2,"Kumushkino","2010"
"17-MAY-2011","Antonov An-2R",10,2,0.2,"Sofiyivka Ip...","2011"
"09-OCT-2011","Antonov An-2R",10,2,0.2,"Zasovkaya, K...","2011"
"18-MAY-2015","Antonov An-2R",10,2,0.2,"Sanamer, Sta...","2015"
"24-MAR-2004","Antonov An-2SX",1,3,3,"Pavlovsky Di...","2004"
"26-JUN-1994","Antonov An-2T",5,2,0.4,"Aichach","1994"
"22-JUN-1999","Antonov An-2T",5,2,0.4,"Porthcurno A...","1999"
"27-DEC-1999","Antonov An-2T",5,2,0.4,"La Ferté-Alais","1999"
"18-JAN-2007","Antonov An-2T",5,2,0.4,"Jelenia Góra...","2007"
"10-OCT-2013","Antonov An-2T",5,2,0.4,"Skulyn, Voly...","2013"
"02-SEP-2017","Antonov An-2V",1,2,2,"Chernoye Air...","2017"
"26-OCT-1951","Avro 689 Tudor 5",1,0,0,"Bovingdon RA...","1951"
"10-MAY-2009","BAe 3212 Jetstream 32",1,1,1,"Utila Airpor...","2009"
"15-SEP-1989","Beech 100 King Air",3,6,2,"Mayfield Gra...","1989"
"27-MAR-1990","Beech 100 King Air",3,6,2,"Uvalde-Garne...","1990"
"25-NOV-2001","Beech 100 King Air",3,6,2,"Buriti Alegr...","2001"
"17-SEP-1982","Beech 200 Super King Air",9,9,1,"Huntington B...","1982"
"27-OCT-1993","Beech 200 Super King Air",9,9,1,"Reno-Cannon ...","1993"
"21-SEP-1999","Beech 200 Super King Air",9,9,1,"Nairobi-Wils...","1999"
"13-JUN-2005","Beech 200 Super King Air",9,9,1,"Caracas-Simó...","2005"
"28-NOV-2005","Beech 200 Super King Air",9,9,1,"Kaduna Airpo...","2005"
"03-FEB-2006","Beech 200 Super King Air",9,9,1,"Myrtle Beach...","2006"
"03-NOV-2008","Beech 200 Super King Air",9,9,1,"Punta Chivat...","2008"
"19-MAY-2014","Beech 200 Super King Air",9,9,1,"southern Apu...","2014"
"29-AUG-2014","Beech 200 Super King Air",9,9,1,"Ibans, Mosqu...","2014"
"21-JAN-1990","Beech 300 Super King Air",2,0,0,"Santo Domingo","1990"
"28-MAY-2014","Beech 300 Super King Air",2,0,0,"Bruzual, Apure","2014"
"04-NOV-2007","Beech A100 King Air",1,2,2,"Santa Elena","2007"
"14-MAY-1999","Beech B100 King Air",3,0,0,"Hickory Airp...","1999"
"06-OCT-2009","Beech B100 King Air",3,0,0,"Aurora, TX","2009"
"28-OCT-2014","Beech B100 King Air",3,0,0,"Toussus-le-N...","2014"
"23-JUN-1987","Beech B200 Super King Air",3,4,1.33,"Jasper-Walke...","1987"
"17-JUL-1987","Beech B200 Super King Air",3,4,1.33,"Crystal Bay, NV","1987"
